Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-paris-saint-germain,38,25,5,8,69,23,83,2.1842105263157894
olympique-marseille,38,21,9,8,42,36,71,1.868421052631579
olympique-lyon,38,19,9,10,61,38,67,1.763157894736842
ogc-nizza,38,18,10,10,57,46,64,1.6842105263157894
as-saint-etienne,38,16,7,15,60,32,63,1.6578947368421053
osc-lille,38,16,8,14,59,40,62,1.631578947368421
fc-girondins-bordeaux,38,13,9,16,40,34,55,1.4473684210526316
fc-lorient,38,14,13,11,57,58,53,1.394736842105263
hsc-montpellier,38,15,16,7,54,51,52,1.368421052631579
fc-toulouse,38,13,13,12,49,47,51,1.3421052631578947
fc-valenciennes,38,12,14,12,49,53,48,1.263157894736842
sc-bastia,38,13,17,8,50,66,47,1.236842105263158
fc-stade-rennes,38,13,18,7,48,59,46,1.2105263157894737
stade-reims,38,10,15,13,33,42,43,1.131578947368421
fc-sochaux-montbeliard,38,10,17,11,41,57,41,1.0789473684210527
fc-evian-thonon-gaillard,38,10,18,10,46,53,40,1.0526315789473684
ac-ajaccio,38,9,14,15,39,51,40,1.0526315789473684
as-nancy-lorraine,38,9,18,11,38,58,38,1.0
es-troyes-ac,38,8,17,13,43,61,37,0.9736842105263158
stade-brest-29,38,8,25,5,32,62,29,0.7631578947368421
