Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-paris-saint-germain,38,30,2,6,102,19,96,2.526315789473684
olympique-lyon,38,19,11,8,67,43,65,1.7105263157894737
as-monaco,38,17,7,14,57,50,65,1.7105263157894737
ogc-nizza,38,18,11,9,58,41,63,1.6578947368421053
osc-lille,38,15,8,15,39,27,60,1.5789473684210527
as-saint-etienne,38,17,14,7,42,37,58,1.5263157894736843
sm-caen,38,16,16,6,39,52,54,1.4210526315789473
fc-stade-rennes,38,13,12,13,52,54,52,1.368421052631579
sco-angers,38,13,14,11,40,38,50,1.3157894736842106
sc-bastia,38,14,16,8,36,42,50,1.3157894736842106
fc-girondins-bordeaux,38,12,12,14,50,57,50,1.3157894736842106
hsc-montpellier,38,14,17,7,49,47,49,1.2894736842105263
olympique-marseille,38,10,10,18,48,42,48,1.263157894736842
fc-nantes,38,12,14,12,33,44,48,1.263157894736842
fc-lorient,38,11,14,13,47,58,46,1.2105263157894737
ea-guingamp,38,11,16,11,47,56,44,1.1578947368421053
fc-toulouse,38,9,16,13,45,55,40,1.0526315789473684
stade-reims,38,10,19,9,44,57,39,1.0263157894736843
gfc-ajaccio,38,8,17,13,37,58,37,0.9736842105263158
es-troyes-ac,38,3,26,9,28,83,18,0.47368421052631576
