Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-girondins-bordeaux,34,22,6,6,66,29,72,2.1176470588235294
olympique-marseille,34,21,5,8,56,28,71,2.088235294117647
olympique-lyon,34,18,7,9,51,31,63,1.8529411764705883
as-monaco,34,18,8,8,52,32,62,1.8235294117647058
fc-stade-rennes,34,17,9,8,45,38,59,1.7352941176470589
rc-lens,34,14,13,7,46,43,49,1.4411764705882353
fc-nantes,34,12,10,12,40,34,48,1.411764705882353
hsc-montpellier,34,11,13,10,53,50,43,1.2647058823529411
fc-paris-saint-germain,34,10,15,9,34,35,39,1.1470588235294117
fc-metz,34,9,13,12,28,37,39,1.1470588235294117
as-nancy-lorraine,34,10,15,9,35,45,39,1.1470588235294117
racing-strassburg,34,8,12,14,30,36,38,1.1176470588235294
sc-bastia,34,10,16,8,37,46,38,1.1176470588235294
aj-auxerre,34,9,15,10,40,45,37,1.088235294117647
ac-le-havre,34,8,15,11,23,38,35,1.0294117647058822
fc-lorient,34,8,15,11,33,49,35,1.0294117647058822
fc-sochaux-montbeliard,34,6,13,15,30,54,33,0.9705882352941176
fc-toulouse,34,6,17,11,24,53,29,0.8529411764705882
