Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
olympique-lyon,38,24,5,9,64,27,81,2.1315789473684212
olympique-marseille,38,19,12,7,53,38,64,1.6842105263157894
fc-toulouse,38,17,14,7,47,43,58,1.5263157894736843
fc-stade-rennes,38,14,9,15,38,30,57,1.5
rc-lens,38,15,11,12,47,41,57,1.5
fc-girondins-bordeaux,38,16,13,9,39,35,57,1.5
fc-sochaux-montbeliard,38,15,11,12,46,48,57,1.5
aj-auxerre,38,13,10,15,41,41,54,1.4210526315789473
as-monaco,38,13,13,12,45,38,51,1.3421052631578947
osc-lille,38,13,14,11,45,43,50,1.3157894736842106
as-saint-etienne,38,14,17,7,52,50,49,1.2894736842105263
fc-le-mans,38,11,11,16,45,46,49,1.2894736842105263
as-nancy-lorraine,38,13,15,10,37,44,49,1.2894736842105263
fc-lorient,38,12,13,13,33,40,49,1.2894736842105263
fc-paris-saint-germain,38,12,14,12,42,42,48,1.263157894736842
ogc-nizza,38,9,13,16,34,40,43,1.131578947368421
fc-valenciennes,38,11,17,10,36,48,43,1.131578947368421
es-troyes-ac,38,9,17,12,39,54,39,1.0263157894736843
cs-sedan-ardennes,38,7,17,14,46,58,35,0.9210526315789473
fc-nantes,38,7,18,13,29,52,34,0.8947368421052632
