Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
hsc-montpellier,38,25,6,7,68,34,82,2.1578947368421053
fc-paris-saint-germain,38,23,5,10,75,41,79,2.0789473684210527
osc-lille,38,21,6,11,72,39,74,1.9473684210526316
olympique-lyon,38,19,12,7,64,51,64,1.6842105263157894
fc-girondins-bordeaux,38,16,9,13,53,41,61,1.605263157894737
fc-stade-rennes,38,17,12,9,53,44,60,1.5789473684210527
as-saint-etienne,38,16,13,9,49,45,57,1.5
fc-toulouse,38,15,12,11,37,34,56,1.4736842105263157
fc-evian-thonon-gaillard,38,13,14,11,54,55,50,1.3157894736842106
olympique-marseille,38,12,14,12,45,41,48,1.263157894736842
as-nancy-lorraine,38,11,15,12,38,48,45,1.1842105263157894
fc-valenciennes,38,12,19,7,40,50,43,1.131578947368421
ogc-nizza,38,10,16,12,39,46,42,1.105263157894737
fc-sochaux-montbeliard,38,11,18,9,40,60,42,1.105263157894737
stade-brest-29,38,8,13,17,31,38,41,1.0789473684210527
ac-ajaccio,38,9,15,14,40,61,41,1.0789473684210527
fc-lorient,38,9,17,12,35,49,39,1.0263157894736843
sm-caen,38,9,18,11,39,59,38,1.0
fco-dijon,38,9,20,9,38,63,36,0.9473684210526315
aj-auxerre,38,7,18,13,46,57,34,0.8947368421052632
