Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-girondins-bordeaux,38,24,6,8,64,34,80,2.1052631578947367
olympique-marseille,38,22,5,11,67,35,77,2.026315789473684
olympique-lyon,38,20,7,11,52,29,71,1.868421052631579
fc-toulouse,38,16,6,16,45,27,64,1.6842105263157894
osc-lille,38,17,8,13,51,39,64,1.6842105263157894
fc-paris-saint-germain,38,19,12,7,49,38,64,1.6842105263157894
fc-stade-rennes,38,15,7,16,42,34,61,1.605263157894737
aj-auxerre,38,16,15,7,35,35,55,1.4473684210526316
ogc-nizza,38,13,14,11,40,41,50,1.3157894736842106
fc-lorient,38,10,13,15,47,47,45,1.1842105263157894
as-monaco,38,11,15,12,41,45,45,1.1842105263157894
fc-valenciennes,38,10,14,14,35,42,44,1.1578947368421053
grenoble-foot-38,38,10,14,14,24,37,44,1.1578947368421053
fc-sochaux-montbeliard,38,10,16,12,40,48,42,1.105263157894737
as-nancy-lorraine,38,10,16,12,38,47,42,1.105263157894737
fc-le-mans,38,10,18,10,43,54,40,1.0526315789473684
as-saint-etienne,38,11,20,7,40,56,40,1.0526315789473684
sm-caen,38,8,17,13,42,49,37,0.9736842105263158
fc-nantes,38,9,19,10,33,54,37,0.9736842105263158
ac-le-havre,38,7,26,5,30,67,26,0.6842105263157895
