Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
leicester-city,38,23,3,12,68,36,81,2.1315789473684212
fc-arsenal,38,20,7,11,65,36,71,1.868421052631579
tottenham-hotspur,38,19,6,13,69,35,70,1.8421052631578947
manchester-city,38,19,10,9,71,41,66,1.736842105263158
manchester-united,38,19,10,9,49,35,66,1.736842105263158
fc-southampton,38,18,11,9,59,41,63,1.6578947368421053
west-ham-united,38,16,8,14,65,51,62,1.631578947368421
fc-liverpool,38,16,10,12,63,50,60,1.5789473684210527
stoke-city,38,14,15,9,41,55,51,1.3421052631578947
fc-chelsea,38,12,12,14,59,53,50,1.3157894736842106
fc-everton,38,11,13,14,59,55,47,1.236842105263158
swansea-city,38,12,15,11,42,52,47,1.236842105263158
fc-watford,38,12,17,9,40,50,45,1.1842105263157894
west-bromwich-albion,38,10,15,13,34,48,43,1.131578947368421
crystal-palace,38,11,18,9,39,51,42,1.105263157894737
afc-bournemouth,38,11,18,9,45,67,42,1.105263157894737
afc-sunderland,38,9,17,12,48,62,39,1.0263157894736843
newcastle-united,38,9,19,10,44,65,37,0.9736842105263158
norwich-city,38,9,22,7,39,67,34,0.8947368421052632
aston-villa,38,3,27,8,27,76,17,0.4473684210526316
