Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-arsenal,38,23,6,9,68,33,78,2.0526315789473686
manchester-united,38,23,7,8,73,26,77,2.026315789473684
fc-liverpool,38,18,9,11,68,42,65,1.7105263157894737
fc-chelsea,38,20,15,3,71,43,63,1.6578947368421053
leeds-united,38,17,13,8,57,46,59,1.5526315789473684
blackburn-rovers,38,16,12,10,57,52,58,1.5263157894736843
aston-villa,38,17,15,6,49,48,57,1.5
west-ham-united,38,16,14,8,56,57,56,1.4736842105263157
derby-county,38,16,15,7,52,49,55,1.4473684210526316
leicester-city,38,13,11,14,51,41,53,1.394736842105263
coventry-city,38,12,10,16,46,44,52,1.368421052631579
fc-southampton,38,14,18,6,50,55,48,1.263157894736842
newcastle-united,38,11,16,11,35,44,44,1.1578947368421053
tottenham-hotspur,38,11,16,11,44,56,44,1.1578947368421053
sheffield-wednesday,38,12,18,8,52,67,44,1.1578947368421053
fc-everton,38,9,16,13,41,56,40,1.0526315789473684
bolton-wanderers,38,9,16,13,41,61,40,1.0526315789473684
fc-barnsley,38,10,23,5,37,82,35,0.9210526315789473
crystal-palace,38,8,21,9,37,71,33,0.868421052631579
milton-keynes-dons,19,5,8,6,18,25,21,1.105263157894737
