Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-chelsea,38,29,5,4,72,22,91,2.3947368421052633
manchester-united,38,25,5,8,72,34,83,2.1842105263157894
fc-liverpool,38,25,6,7,57,25,82,2.1578947368421053
fc-arsenal,38,20,11,7,68,31,67,1.763157894736842
tottenham-hotspur,38,18,9,11,53,38,65,1.7105263157894737
blackburn-rovers,38,19,13,6,51,42,63,1.6578947368421053
newcastle-united,38,17,14,7,47,42,58,1.5263157894736843
bolton-wanderers,38,15,12,11,49,41,56,1.4736842105263157
west-ham-united,38,16,15,7,52,55,55,1.4473684210526316
wigan-athletic,38,15,17,6,45,52,51,1.3421052631578947
fc-everton,38,14,16,8,34,49,50,1.3157894736842106
fc-fulham,38,14,18,6,48,58,48,1.263157894736842
charlton-athletic,38,13,17,8,41,55,47,1.236842105263158
fc-middlesbrough,38,12,17,9,48,58,45,1.1842105263157894
manchester-city,38,13,21,4,43,48,43,1.131578947368421
aston-villa,38,10,16,12,42,55,42,1.105263157894737
fc-portsmouth,38,10,20,8,37,62,38,1.0
birmingham-city,38,8,20,10,28,50,34,0.8947368421052632
west-bromwich-albion,38,7,22,9,31,58,30,0.7894736842105263
afc-sunderland,38,3,29,6,26,69,15,0.39473684210526316
