Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
manchester-united,38,27,5,6,80,22,87,2.289473684210526
fc-chelsea,38,25,3,10,65,26,85,2.236842105263158
fc-arsenal,38,24,3,11,74,31,83,2.1842105263157894
fc-liverpool,38,21,4,13,67,28,76,2.0
fc-everton,38,19,11,8,55,33,65,1.7105263157894737
aston-villa,38,16,10,12,71,51,60,1.5789473684210527
blackburn-rovers,38,15,10,13,50,48,58,1.5263157894736843
fc-portsmouth,38,16,13,9,48,40,57,1.5
manchester-city,38,15,13,10,45,53,55,1.4473684210526316
west-ham-united,38,13,15,10,42,50,49,1.2894736842105263
tottenham-hotspur,38,11,14,13,66,61,46,1.2105263157894737
newcastle-united,38,11,17,10,45,65,43,1.131578947368421
fc-middlesbrough,38,10,16,12,43,53,42,1.105263157894737
wigan-athletic,38,10,18,10,34,51,40,1.0526315789473684
afc-sunderland,38,11,21,6,36,59,39,1.0263157894736843
bolton-wanderers,38,9,19,10,36,54,37,0.9736842105263158
fc-fulham,38,8,18,12,38,60,36,0.9473684210526315
fc-reading,38,10,22,6,41,66,36,0.9473684210526315
birmingham-city,38,8,19,11,46,62,35,0.9210526315789473
derby-county,38,1,29,8,20,89,11,0.2894736842105263
