Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
manchester-city,38,28,5,5,93,29,89,2.3421052631578947
manchester-united,38,28,5,5,89,33,89,2.3421052631578947
fc-arsenal,38,21,10,7,74,49,70,1.8421052631578947
tottenham-hotspur,38,20,9,9,66,41,69,1.8157894736842106
newcastle-united,38,19,11,8,56,51,65,1.7105263157894737
fc-chelsea,38,18,10,10,65,46,64,1.6842105263157894
fc-everton,38,15,12,11,50,40,56,1.4736842105263157
fc-liverpool,38,14,14,10,47,40,52,1.368421052631579
fc-fulham,38,14,14,10,48,51,52,1.368421052631579
west-bromwich-albion,38,13,17,8,45,52,47,1.236842105263158
swansea-city,38,12,15,11,44,51,47,1.236842105263158
norwich-city,38,12,15,11,52,66,47,1.236842105263158
afc-sunderland,38,11,15,12,45,46,45,1.1842105263157894
stoke-city,38,11,15,12,36,53,45,1.1842105263157894
wigan-athletic,38,11,17,10,42,62,43,1.131578947368421
aston-villa,38,7,14,17,37,53,38,1.0
queens-park-rangers,38,10,21,7,43,66,37,0.9736842105263158
bolton-wanderers,38,10,22,6,46,77,36,0.9473684210526315
blackburn-rovers,38,8,23,7,48,78,31,0.8157894736842105
wolverhampton-wanderers,38,5,23,10,40,82,25,0.6578947368421053
