Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
manchester-united,38,28,5,5,86,43,89,2.3421052631578947
manchester-city,38,23,6,9,66,34,78,2.0526315789473686
fc-chelsea,38,22,7,9,75,39,75,1.9736842105263157
fc-arsenal,38,21,7,10,72,37,73,1.9210526315789473
tottenham-hotspur,38,21,8,9,66,46,72,1.894736842105263
fc-everton,38,16,7,15,55,40,63,1.6578947368421053
fc-liverpool,38,16,9,13,71,43,61,1.605263157894737
west-bromwich-albion,38,14,17,7,53,57,49,1.2894736842105263
swansea-city,38,11,14,13,47,51,46,1.2105263157894737
west-ham-united,38,12,16,10,45,53,46,1.2105263157894737
norwich-city,38,10,14,14,41,58,44,1.1578947368421053
fc-fulham,38,11,17,10,50,60,43,1.131578947368421
stoke-city,38,9,14,15,34,45,42,1.105263157894737
fc-southampton,38,9,15,14,49,60,41,1.0789473684210527
aston-villa,38,10,17,11,47,69,41,1.0789473684210527
newcastle-united,38,11,19,8,45,68,41,1.0789473684210527
afc-sunderland,38,9,17,12,41,54,39,1.0263157894736843
wigan-athletic,38,9,20,9,47,73,36,0.9473684210526315
fc-reading,38,6,22,10,43,73,28,0.7368421052631579
queens-park-rangers,38,4,21,13,30,60,25,0.6578947368421053
