Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
manchester-united,38,28,3,7,97,45,91,2.3947368421052633
fc-arsenal,38,22,9,7,73,43,73,1.9210526315789473
leeds-united,38,21,11,6,58,43,69,1.8157894736842106
fc-liverpool,38,19,9,10,51,30,67,1.763157894736842
fc-chelsea,38,18,9,11,53,34,65,1.7105263157894737
aston-villa,38,15,10,13,46,35,58,1.5263157894736843
afc-sunderland,38,16,12,10,57,56,58,1.5263157894736843
leicester-city,38,16,15,7,55,55,55,1.4473684210526316
west-ham-united,38,15,13,10,52,53,55,1.4473684210526316
tottenham-hotspur,38,15,15,8,57,49,53,1.394736842105263
newcastle-united,38,14,14,10,63,54,52,1.368421052631579
fc-middlesbrough,38,14,14,10,46,52,52,1.368421052631579
fc-everton,38,12,12,14,59,49,50,1.3157894736842106
coventry-city,38,12,18,8,47,54,44,1.1578947368421053
fc-southampton,38,12,18,8,45,62,44,1.1578947368421053
derby-county,38,9,18,11,44,57,38,1.0
bradford-city,38,9,20,9,38,68,36,0.9473684210526315
milton-keynes-dons,38,7,19,12,46,74,33,0.868421052631579
sheffield-wednesday,38,8,23,7,38,70,31,0.8157894736842105
fc-watford,38,6,26,6,35,77,24,0.631578947368421
