Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-arsenal,38,26,0,12,73,26,90,2.3684210526315788
fc-chelsea,38,24,7,7,67,30,79,2.0789473684210527
manchester-united,38,23,9,6,64,35,75,1.9736842105263157
fc-liverpool,38,16,10,12,55,37,60,1.5789473684210527
newcastle-united,38,13,8,17,52,40,56,1.4736842105263157
aston-villa,38,15,12,11,48,44,56,1.4736842105263157
charlton-athletic,38,14,13,11,51,51,53,1.394736842105263
bolton-wanderers,38,14,13,11,48,56,53,1.394736842105263
fc-fulham,38,14,14,10,52,46,52,1.368421052631579
birmingham-city,38,12,12,14,43,48,50,1.3157894736842106
fc-middlesbrough,38,13,16,9,44,52,48,1.263157894736842
fc-southampton,38,12,15,11,44,45,47,1.236842105263158
fc-portsmouth,38,12,17,9,47,54,45,1.1842105263157894
tottenham-hotspur,38,13,19,6,47,57,45,1.1842105263157894
blackburn-rovers,38,12,18,8,51,59,44,1.1578947368421053
manchester-city,38,9,15,14,55,54,41,1.0789473684210527
fc-everton,38,9,17,12,45,57,39,1.0263157894736843
leicester-city,38,6,17,15,48,65,33,0.868421052631579
leeds-united,38,8,21,9,40,79,33,0.868421052631579
wolverhampton-wanderers,38,7,19,12,38,77,33,0.868421052631579
