Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-arsenal,38,26,3,9,79,36,87,2.289473684210526
fc-liverpool,38,24,6,8,67,30,80,2.1052631578947367
manchester-united,38,24,9,5,87,45,77,2.026315789473684
newcastle-united,38,21,9,8,74,52,71,1.868421052631579
leeds-united,38,18,8,12,53,37,66,1.736842105263158
fc-chelsea,38,17,8,13,66,38,64,1.6842105263157894
west-ham-united,38,15,15,8,48,57,53,1.394736842105263
aston-villa,38,12,12,14,46,47,50,1.3157894736842106
tottenham-hotspur,38,14,16,8,49,53,50,1.3157894736842106
blackburn-rovers,38,12,16,10,55,51,46,1.2105263157894737
fc-southampton,38,12,17,9,46,54,45,1.1842105263157894
fc-middlesbrough,38,12,17,9,35,47,45,1.1842105263157894
fc-fulham,38,10,14,14,36,44,44,1.1578947368421053
charlton-athletic,38,10,14,14,38,49,44,1.1578947368421053
fc-everton,38,11,17,10,45,57,43,1.131578947368421
bolton-wanderers,38,9,16,13,44,62,40,1.0526315789473684
afc-sunderland,38,10,18,10,29,51,40,1.0526315789473684
ipswich-town,38,9,20,9,41,64,36,0.9473684210526315
derby-county,38,8,24,6,33,63,30,0.7894736842105263
leicester-city,38,5,20,13,30,64,28,0.7368421052631579
