Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
fc-chelsea,38,26,3,9,73,32,87,2.289473684210526
manchester-city,38,24,7,7,83,38,79,2.0789473684210527
fc-arsenal,38,22,7,9,71,36,75,1.9736842105263157
manchester-united,38,20,8,10,62,37,70,1.8421052631578947
tottenham-hotspur,38,19,12,7,58,53,64,1.6842105263157894
fc-liverpool,38,18,12,8,52,48,62,1.631578947368421
fc-southampton,38,18,14,6,54,33,60,1.5789473684210527
swansea-city,38,16,14,8,46,49,56,1.4736842105263157
stoke-city,38,15,14,9,48,45,54,1.4210526315789473
crystal-palace,38,13,16,9,47,51,48,1.263157894736842
fc-everton,38,12,15,11,48,50,47,1.236842105263158
west-ham-united,38,12,15,11,44,47,47,1.236842105263158
west-bromwich-albion,38,11,16,11,38,51,44,1.1578947368421053
leicester-city,38,11,19,8,46,55,41,1.0789473684210527
newcastle-united,38,10,19,9,40,63,39,1.0263157894736843
afc-sunderland,38,7,14,17,31,53,38,1.0
aston-villa,38,10,20,8,31,57,38,1.0
hull-city,38,8,19,11,33,51,35,0.9210526315789473
fc-burnley,38,7,19,12,28,53,33,0.868421052631579
queens-park-rangers,38,8,24,6,42,73,30,0.7894736842105263
