Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
manchester-united,38,28,4,6,68,24,90,2.3684210526315788
fc-liverpool,38,25,2,11,77,27,86,2.263157894736842
fc-chelsea,38,25,5,8,68,24,83,2.1842105263157894
fc-arsenal,38,20,6,12,68,37,72,1.894736842105263
fc-everton,38,17,9,12,55,37,63,1.6578947368421053
aston-villa,38,17,10,11,54,48,62,1.631578947368421
fc-fulham,38,14,13,11,39,34,53,1.394736842105263
tottenham-hotspur,38,14,15,9,45,45,51,1.3421052631578947
west-ham-united,38,14,15,9,42,45,51,1.3421052631578947
manchester-city,38,15,18,5,58,50,50,1.3157894736842106
wigan-athletic,38,12,17,9,34,45,45,1.1842105263157894
stoke-city,38,12,17,9,38,55,45,1.1842105263157894
bolton-wanderers,38,11,19,8,41,53,41,1.0789473684210527
fc-portsmouth,38,10,17,11,38,57,41,1.0789473684210527
blackburn-rovers,38,10,17,11,40,60,41,1.0789473684210527
afc-sunderland,38,9,20,9,34,54,36,0.9473684210526315
hull-city,38,8,19,11,39,64,35,0.9210526315789473
newcastle-united,38,7,18,13,40,59,34,0.8947368421052632
fc-middlesbrough,38,7,20,11,28,57,32,0.8421052631578947
west-bromwich-albion,38,8,22,8,36,67,32,0.8421052631578947
