Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
manchester-city,38,27,6,5,102,37,86,2.263157894736842
fc-liverpool,38,26,6,6,101,50,84,2.210526315789474
fc-chelsea,38,25,6,7,71,27,82,2.1578947368421053
fc-arsenal,38,24,7,7,68,41,79,2.0789473684210527
fc-everton,38,21,8,9,61,39,72,1.894736842105263
tottenham-hotspur,38,21,11,6,55,51,69,1.8157894736842106
manchester-united,38,19,12,7,64,43,64,1.6842105263157894
fc-southampton,38,15,12,11,54,46,56,1.4736842105263157
stoke-city,38,13,14,11,45,52,50,1.3157894736842106
newcastle-united,38,15,19,4,43,59,49,1.2894736842105263
crystal-palace,38,13,19,6,33,48,45,1.1842105263157894
swansea-city,38,11,18,9,54,54,42,1.105263157894737
west-ham-united,38,11,20,7,40,51,40,1.0526315789473684
afc-sunderland,38,10,20,8,41,60,38,1.0
aston-villa,38,10,20,8,39,61,38,1.0
hull-city,38,10,21,7,38,53,37,0.9736842105263158
west-bromwich-albion,38,7,16,15,43,59,36,0.9473684210526315
norwich-city,38,8,21,9,28,62,33,0.868421052631579
fc-fulham,38,9,24,5,40,85,32,0.8421052631578947
cardiff-city,38,7,22,9,32,74,30,0.7894736842105263
