Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
manchester-united,38,25,5,8,74,34,83,2.1842105263157894
fc-arsenal,38,23,6,9,85,42,78,2.0526315789473686
newcastle-united,38,21,11,6,63,48,69,1.8157894736842106
fc-chelsea,38,19,9,10,68,38,67,1.763157894736842
fc-liverpool,38,18,10,10,61,41,64,1.6842105263157894
blackburn-rovers,38,16,10,12,52,43,60,1.5789473684210527
fc-everton,38,17,13,8,48,49,59,1.5526315789473684
fc-southampton,38,13,12,13,43,46,52,1.368421052631579
manchester-city,38,15,17,6,47,54,51,1.3421052631578947
tottenham-hotspur,38,14,16,8,51,62,50,1.3157894736842106
fc-middlesbrough,38,13,15,10,48,44,49,1.2894736842105263
charlton-athletic,38,14,17,7,45,56,49,1.2894736842105263
birmingham-city,38,13,16,9,41,49,48,1.263157894736842
fc-fulham,38,13,16,9,41,50,48,1.263157894736842
leeds-united,38,14,19,5,58,57,47,1.236842105263158
aston-villa,38,12,17,9,42,47,45,1.1842105263157894
bolton-wanderers,38,10,14,14,41,51,44,1.1578947368421053
west-ham-united,38,10,16,12,42,59,42,1.105263157894737
west-bromwich-albion,38,6,24,8,29,65,26,0.6842105263157895
afc-sunderland,38,4,27,7,21,65,19,0.5
