Name,Matches,Won,Lost,Draw,GF,GA,Points,PPM
manchester-united,38,21,5,12,76,44,75,1.9736842105263157
newcastle-united,38,19,8,11,73,40,68,1.7894736842105263
fc-arsenal,38,19,8,11,62,32,68,1.7894736842105263
fc-liverpool,38,19,8,11,62,37,68,1.7894736842105263
aston-villa,38,17,11,10,47,34,61,1.605263157894737
fc-chelsea,38,16,11,11,58,55,59,1.5526315789473684
sheffield-wednesday,38,14,9,15,50,51,57,1.5
milton-keynes-dons,38,15,12,11,49,46,56,1.4736842105263157
leicester-city,38,12,15,11,46,54,47,1.236842105263158
tottenham-hotspur,38,13,18,7,44,51,46,1.2105263157894737
leeds-united,38,11,14,13,28,38,46,1.2105263157894737
derby-county,38,11,14,13,45,58,46,1.2105263157894737
blackburn-rovers,38,9,14,15,42,43,42,1.105263157894737
west-ham-united,38,10,16,12,39,48,42,1.105263157894737
fc-everton,38,10,16,12,44,57,42,1.105263157894737
fc-southampton,38,10,17,11,50,56,41,1.0789473684210527
coventry-city,38,9,15,14,38,54,41,1.0789473684210527
afc-sunderland,38,10,18,10,35,53,40,1.0526315789473684
fc-middlesbrough,38,10,16,12,51,60,39,1.0263157894736843
nottingham-forest,38,6,16,16,31,59,34,0.8947368421052632
